n:39 mse_avg:37.47 mse_y:54.50 mse_u:3.45 mse_v:3.36 psnr_avg:32.39 psnr_y:30.77 psnr_u:42.75 psnr_v:42.87 
n:40 mse_avg:28.62 mse_y:41.26 mse_u:3.43 mse_v:3.24 psnr_avg:33.56 psnr_y:31.98 psnr_u:42.77 psnr_v:43.03 
n:41 mse_avg:25.06 mse_y:35.86 mse_u:3.63 mse_v:3.30 psnr_avg:34.14 psnr_y:32.58 psnr_u:42.53 psnr_v:42.95 
n:42 mse_avg:27.16 mse_y:39.01 mse_u:3.60 mse_v:3.31 psnr_avg:33.79 psnr_y:32.22 psnr_u:42.56 psnr_v:42.93 
n:43 mse_avg:29.43 mse_y:42.42 mse_u:3.59 mse_v:3.28 psnr_avg:33.44 psnr_y:31.85 psnr_u:42.58 psnr_v:42.97 
n:44 mse_avg:28.88 mse_y:41.59 mse_u:3.59 mse_v:3.29 psnr_avg:33.53 psnr_y:31.94 psnr_u:42.59 psnr_v:42.96 
n:45 mse_avg:32.89 mse_y:47.60 mse_u:3.65 mse_v:3.30 psnr_avg:32.96 psnr_y:31.36 psnr_u:42.51 psnr_v:42.95 
n:46 mse_avg:33.60 mse_y:48.65 mse_u:3.67 mse_v:3.36 psnr_avg:32.87 psnr_y:31.26 psnr_u:42.48 psnr_v:42.87 
n:47 mse_avg:29.93 mse_y:43.14 mse_u:3.69 mse_v:3.34 psnr_avg:33.37 psnr_y:31.78 psnr_u:42.46 psnr_v:42.89 
n:48 mse_avg:28.56 mse_y:41.09 mse_u:3.65 mse_v:3.36 psnr_avg:33.57 psnr_y:31.99 psnr_u:42.50 psnr_v:42.87 
n:49 mse_avg:35.30 mse_y:51.13 mse_u:3.74 mse_v:3.52 psnr_avg:32.65 psnr_y:31.04 psnr_u:42.40 psnr_v:42.66 
n:50 mse_avg:31.78 mse_y:45.93 mse_u:3.62 mse_v:3.34 psnr_avg:33.11 psnr_y:31.51 psnr_u:42.55 psnr_v:42.90 
n:51 mse_avg:25.28 mse_y:36.23 mse_u:3.51 mse_v:3.23 psnr_avg:34.10 psnr_y:32.54 psnr_u:42.67 psnr_v:43.05 
n:52 mse_avg:26.00 mse_y:37.30 mse_u:3.54 mse_v:3.30 psnr_avg:33.98 psnr_y:32.41 psnr_u:42.64 psnr_v:42.95 
n:53 mse_avg:27.97 mse_y:40.16 mse_u:3.74 mse_v:3.43 psnr_avg:33.66 psnr_y:32.09 psnr_u:42.40 psnr_v:42.78 
n:54 mse_avg:20.06 mse_y:28.32 mse_u:3.70 mse_v:3.34 psnr_avg:35.11 psnr_y:33.61 psnr_u:42.45 psnr_v:42.89 
n:55 mse_avg:18.91 mse_y:26.63 mse_u:3.67 mse_v:3.28 psnr_avg:35.36 psnr_y:33.88 psnr_u:42.49 psnr_v:42.97 
n:56 mse_avg:24.62 mse_y:35.17 mse_u:3.70 mse_v:3.33 psnr_avg:34.22 psnr_y:32.67 psnr_u:42.45 psnr_v:42.91 
n:57 mse_avg:23.70 mse_y:33.80 mse_u:3.67 mse_v:3.32 psnr_avg:34.38 psnr_y:32.84 psnr_u:42.48 psnr_v:42.91 
n:58 mse_avg:18.21 mse_y:25.57 mse_u:3.66 mse_v:3.33 psnr_avg:35.53 psnr_y:34.05 psnr_u:42.49 psnr_v:42.91 
n:59 mse_avg:20.98 mse_y:29.74 mse_u:3.63 mse_v:3.28 psnr_avg:34.91 psnr_y:33.40 psnr_u:42.53 psnr_v:42.97 
n:60 mse_avg:22.54 mse_y:32.07 mse_u:3.65 mse_v:3.31 psnr_avg:34.60 psnr_y:33.07 psnr_u:42.50 psnr_v:42.93 
n:61 mse_avg:26.99 mse_y:38.71 mse_u:3.68 mse_v:3.42 psnr_avg:33.82 psnr_y:32.25 psnr_u:42.47 psnr_v:42.79 
n:62 mse_avg:23.98 mse_y:34.28 mse_u:3.50 mse_v:3.26 psnr_avg:34.33 psnr_y:32.78 psnr_u:42.69 psnr_v:43.00 
n:63 mse_avg:28.88 mse_y:41.65 mse_u:3.41 mse_v:3.23 psnr_avg:33.53 psnr_y:31.93 psnr_u:42.80 psnr_v:43.04 
n:64 mse_avg:34.69 mse_y:50.30 mse_u:3.45 mse_v:3.50 psnr_avg:32.73 psnr_y:31.11 psnr_u:42.76 psnr_v:42.68 
n:65 mse_avg:38.46 mse_y:55.87 mse_u:3.49 mse_v:3.74 psnr_avg:32.28 psnr_y:30.66 psnr_u:42.70 psnr_v:42.40 
n:66 mse_avg:39.08 mse_y:56.60 mse_u:3.85 mse_v:4.23 psnr_avg:32.21 psnr_y:30.60 psnr_u:42.28 psnr_v:41.87 
n:67 mse_avg:41.60 mse_y:60.35 mse_u:3.93 mse_v:4.28 psnr_avg:31.94 psnr_y:30.32 psnr_u:42.19 psnr_v:41.82 
n:68 mse_avg:40.94 mse_y:59.39 mse_u:3.93 mse_v:4.16 psnr_avg:32.01 psnr_y:30.39 psnr_u:42.19 psnr_v:41.94 
n:69 mse_avg:38.16 mse_y:55.27 mse_u:3.92 mse_v:3.96 psnr_avg:32.31 psnr_y:30.71 psnr_u:42.20 psnr_v:42.15 
n:70 mse_avg:32.38 mse_y:46.63 mse_u:3.93 mse_v:3.80 psnr_avg:33.03 psnr_y:31.44 psnr_u:42.19 psnr_v:42.33 
n:71 mse_avg:24.91 mse_y:35.48 mse_u:3.91 mse_v:3.62 psnr_avg:34.17 psnr_y:32.63 psnr_u:42.21 psnr_v:42.55 
n:72 mse_avg:21.48 mse_y:30.33 mse_u:3.92 mse_v:3.61 psnr_avg:34.81 psnr_y:33.31 psnr_u:42.19 psnr_v:42.56 
n:73 mse_avg:29.12 mse_y:41.86 mse_u:3.77 mse_v:3.54 psnr_avg:33.49 psnr_y:31.91 psnr_u:42.37 psnr_v:42.64 
n:74 mse_avg:26.03 mse_y:37.32 mse_u:3.58 mse_v:3.30 psnr_avg:33.98 psnr_y:32.41 psnr_u:42.59 psnr_v:42.95 
n:75 mse_avg:32.08 mse_y:46.44 mse_u:3.48 mse_v:3.20 psnr_avg:33.07 psnr_y:31.46 psnr_u:42.71 psnr_v:43.07 
n:76 mse_avg:35.13 mse_y:51.03 mse_u:3.45 mse_v:3.18 psnr_avg:32.67 psnr_y:31.05 psnr_u:42.75 psnr_v:43.10 
n:77 mse_avg:22.20 mse_y:31.68 mse_u:3.42 mse_v:3.08 psnr_avg:34.67 psnr_y:33.12 psnr_u:42.79 psnr_v:43.24 
n:78 mse_avg:15.02 mse_y:20.77 mse_u:3.70 mse_v:3.35 psnr_avg:36.36 psnr_y:34.96 psnr_u:42.45 psnr_v:42.88 
